Member_number,Date,itemDescription,year,month,day,day_of_week
3021,30/01/2015,frankfurter,2015,1,30,4
1292,24/10/2015,pork,2015,10,24,5
4206,4/04/2014,root vegetables,2014,4,4,4
4369,25/08/2015,onions,2015,8,25,1
1522,1/07/2014,waffles,2014,7,1,1
2053,17/09/2015,cereals,2015,9,17,3
2914,10/09/2014,yogurt,2014,9,10,2
4089,10/04/2015,sausage,2015,4,10,4
2460,27/10/2015,rolls/buns,2015,10,27,1
2738,2/03/2015,root vegetables,2015,3,2,0
2074,4/10/2015,chocolate,2015,10,4,6
1038,14/12/2015,whipped/sour cream,2015,12,14,0
4277,18/02/2015,butter,2015,2,18,2
2564,20/12/2014,curd,2014,12,20,5
3913,21/03/2015,frozen meals,2015,3,21,5
3797,9/07/2014,whole milk,2014,7,9,2
2663,20/01/2014,tropical fruit,2014,1,20,0
2164,19/03/2015,rolls/buns,2015,3,19,3
2653,12/07/2015,whole milk,2015,7,12,6
4312,4/02/2014,whole milk,2014,2,4,1
3818,8/08/2015,sugar,2015,8,8,5
4789,4/09/2015,specialty cheese,2015,9,4,4
4763,27/02/2014,whole milk,2014,2,27,3
4283,4/04/2014,frozen meals,2014,4,4,4
2296,6/12/2014,other vegetables,2014,12,6,5
4114,4/05/2015,fruit/vegetable juice,2015,5,4,0
4099,27/01/2015,misc. beverages,2015,1,27,1
2927,2/03/2015,frozen vegetables,2015,3,2,0
4220,5/05/2014,rolls/buns,2014,5,5,0
3221,9/09/2014,spices,2014,9,9,1
1010,3/05/2014,coffee,2014,5,3,5
1070,11/05/2014,cream cheese ,2014,5,11,6
4369,8/05/2014,red/blush wine,2014,5,8,3
4574,5/01/2014,other vegetables,2014,1,5,6
2217,24/04/2014,curd,2014,4,24,3
2774,28/06/2014,whole milk,2014,6,28,5
4629,24/02/2015,whole milk,2015,2,24,1
2746,20/04/2014,rolls/buns,2014,4,20,6
1606,8/05/2014,red/blush wine,2014,5,8,3
4104,1/01/2015,dessert,2015,1,1,3
3531,7/10/2014,whole milk,2014,10,7,1
2022,3/04/2015,long life bakery product,2015,4,3,4
2451,8/02/2014,domestic eggs,2014,2,8,5
4762,28/03/2014,abrasive cleaner,2014,3,28,4
